dataset_code,layer_code,name,units,description,cellsize_equalarea,cellsize_lonlat,version
Bio-ORACLE,BO21_ppmean_bdmax,Primary production (mean at max depth),g/mÅ¸/day,Mean net primary productivity of carbon at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmean_bdmean,Primary production (mean at mean depth),g/mÅ¸/day,Mean net primary productivity of carbon at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmean_bdmin,Primary production (mean at min depth),g/mÅ¸/day,Mean net primary productivity of carbon at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmean_ss,Primary production (mean),g/mÅ¸/day,Mean sea surface net primary productivity of carbon,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmin_bdmax,Primary production (minimum at max depth),g/mÅ¸/day,Minimum net primary productivity of carbon at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmin_bdmean,Primary production (minimum at mean depth),g/mÅ¸/day,Minimum net primary productivity of carbon at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmin_bdmin,Primary production (minimum at min depth),g/mÅ¸/day,Minimum net primary productivity of carbon at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_ppmin_ss,Primary production (minimum),g/mÅ¸/day,Minimum sea surface net primary productivity of carbon,7000,0.083333333,2.1
Bio-ORACLE,BO21_pprange_bdmax,Primary production (range at max depth),g/mÅ¸/day,Range of the net primary productivity of carbon at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_pprange_bdmean,Primary production (range at mean depth),g/mÅ¸/day,Range of the net primary productivity of carbon at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_pprange_bdmin,Primary production (range at min depth),g/mÅ¸/day,Range of the net primary productivity of carbon at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_pprange_ss,Primary production (range),g/mÅ¸/day,Range of sea surface net primary productivity of carbon,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmax_bdmax,Sea water salinity (longterm max at max depth),PSS,Longterm maximum sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmax_bdmean,Sea water salinity (longterm max at mean depth),PSS,Longterm maximum sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmax_bdmin,Sea water salinity (longterm max at min depth),PSS,Longterm maximum sea water salinity at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmax_ss,Sea surface salinity (longterm max),PSS,Longterm maximum sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmin_bdmax,Sea water salinity (longterm min at max depth),PSS,Longterm minimum sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmin_bdmean,Sea water salinity (longterm max at mean depth),PSS,Longterm minimum sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmin_bdmin,Sea water salinity (longterm min at min depth),PSS,Longterm minimum sea water salinity at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityltmin_ss,Sea surface salinity (longterm min),PSS,Longterm minimum sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymax_bdmax,Sea water salinity (maximum at max depth),PSS,Maximum sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymax_bdmean,Sea water salinity (maximum at mean depth),PSS,Maximum sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymax_bdmin,Sea water salinity (maximum at min depth),PSS,Maximum sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymax_ss,Sea surface salinity (maximum),PSS,Maximum sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymean_bdmax,Sea water salinity (mean at max depth),PSS,Mean sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymean_bdmean,Sea water salinity (mean at mean depth),PSS,Mean sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymean_bdmin,Sea water salinity (mean at min depth),PSS,Mean sea water salinity at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymean_ss,Sea surface salinity (mean),PSS,Mean sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymin_bdmax,Sea water salinity (minimum at max depth),PSS,Minimum sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymin_bdmean,Sea water salinity (minimum at mean depth),PSS,Minimum sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymin_bdmin,Sea water salinity (minimum at min depth),PSS,Minimum sea water salinity at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinitymin_ss,Sea surface salinity (minimum),PSS,Minimum sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityrange_bdmax,Sea water salinity (range at max depth),PSS,Range of the sea water salinity at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityrange_bdmean,Sea water salinity (range at mean depth),PSS,Range of the sea water salinity at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityrange_bdmin,Sea water salinity (range at min depth),PSS,Range of the sea water salinity at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_salinityrange_ss,Sea surface salinity (range),PSS,Range of sea surface salinity,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmax_bdmax,Silicate concentration (longterm max at max depth),Â¾mol/mÅ¸,Longterm maximum mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmax_bdmean,Silicate concentration (longterm max at mean depth),Â¾mol/mÅ¸,Longterm maximum mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmax_bdmin,Silicate concentration (longterm max at min depth),Â¾mol/mÅ¸,Longterm maximum mole concentration of silicate in sea water at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmax_ss,Silicate concentration (longterm max),Â¾mol/mÅ¸,Longterm maximum mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmin_bdmax,Silicate concentration (longterm min at max depth),Â¾mol/mÅ¸,Longterm minimum mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmin_bdmean,Silicate concentration (longterm max at mean depth),Â¾mol/mÅ¸,Longterm minimum mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmin_bdmin,Silicate concentration (longterm min at min depth),Â¾mol/mÅ¸,Longterm minimum mole concentration of silicate in sea water at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicateltmin_ss,Silicate concentration (longterm min),Â¾mol/mÅ¸,Longterm minimum mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemax_bdmax,Silicate concentration (maximum at max depth),Â¾mol/mÅ¸,Maximum mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemax_bdmean,Silicate concentration (maximum at mean depth),Â¾mol/mÅ¸,Maximum mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemax_bdmin,Silicate concentration (maximum at min depth),Â¾mol/mÅ¸,Maximum mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemax_ss,Silicate concentration (maximum),Â¾mol/mÅ¸,Maximum mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemean_bdmax,Silicate concentration (mean at max depth),Â¾mol/mÅ¸,Mean mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemean_bdmean,Silicate concentration (mean at mean depth),Â¾mol/mÅ¸,Mean mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemean_bdmin,Silicate concentration (mean at min depth),Â¾mol/mÅ¸,Mean mole concentration of silicate in sea water at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemean_ss,Silicate concentration (mean),Â¾mol/mÅ¸,Mean mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemin_bdmax,Silicate concentration (minimum at max depth),Â¾mol/mÅ¸,Minimum mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemin_bdmean,Silicate concentration (minimum at mean depth),Â¾mol/mÅ¸,Minimum mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemin_bdmin,Silicate concentration (minimum at min depth),Â¾mol/mÅ¸,Minimum mole concentration of silicate in sea water at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicatemin_ss,Silicate concentration (minimum),Â¾mol/mÅ¸,Minimum mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicaterange_bdmax,Silicate concentration (range at max depth),Â¾mol/mÅ¸,Range of the mole concentration of silicate in sea water at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicaterange_bdmean,Silicate concentration (range at mean depth),Â¾mol/mÅ¸,Range of the mole concentration of silicate in sea water at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicaterange_bdmin,Silicate concentration (range at min depth),Â¾mol/mÅ¸,Range of the mole concentration of silicate in sea water at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_silicaterange_ss,Silicate concentration (range),Â¾mol/mÅ¸,Range of mole concentration of silicate at the sea surface,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmax_bdmax,Sea water temperature (longterm max at max depth),degrees Celcius,Longterm maximum sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmax_bdmean,Sea water temperature (longterm max at mean depth),degrees Celcius,Longterm maximum sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmax_bdmin,Sea water temperature (longterm max at min depth),degrees Celcius,Longterm maximum sea water temperature at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmax_ss,Sea surface temperature (longterm max),degrees Celcius,Longterm maximum sea surface temperature,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmin_bdmax,Sea water temperature (longterm min at max depth),degrees Celcius,Longterm minimum sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmin_bdmean,Sea water temperature (longterm max at mean depth),degrees Celcius,Longterm minimum sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmin_bdmin,Sea water temperature (longterm min at min depth),degrees Celcius,Longterm minimum sea water temperature at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_templtmin_ss,Sea surface temperature (longterm min),degrees Celcius,Longterm minimum sea surface temperature,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmax_bdmax,Sea water temperature (maximum at max depth),degrees Celcius,Maximum sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmax_bdmean,Sea water temperature (maximum at mean depth),degrees Celcius,Maximum sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmax_bdmin,Sea water temperature (maximum at min depth),degrees Celcius,Maximum sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmax_ss,Sea surface temperature (maximum),degrees Celcius,Maximum sea surface temperature,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmean_bdmax,Sea water temperature (mean at max depth),degrees Celcius,Mean sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmean_bdmean,Sea water temperature (mean at mean depth),degrees Celcius,Mean sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmean_bdmin,Sea water temperature (mean at min depth),degrees Celcius,Mean sea water temperature at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmean_ss,Sea surface temperature (mean),degrees Celcius,Mean sea surface temperature,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmin_bdmax,Sea water temperature (minimum at max depth),degrees Celcius,Minimum sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmin_bdmean,Sea water temperature (minimum at mean depth),degrees Celcius,Minimum sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmin_bdmin,Sea water temperature (minimum at min depth),degrees Celcius,Minimum sea water temperature at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_tempmin_ss,Sea surface temperature (minimum),degrees Celcius,Minimum sea surface temperature,7000,0.083333333,2.1
Bio-ORACLE,BO21_temprange_bdmax,Sea water temperature (range at max depth),degrees Celcius,Range of the sea water temperature at the bottom at maximum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_temprange_bdmean,Sea water temperature (range at mean depth),degrees Celcius,Range of the sea water temperature at the bottom at mean bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_temprange_bdmin,Sea water temperature (range at min depth),degrees Celcius,Range of the sea water temperature at the bottom at minimum bottom depth,7000,0.083333333,2.1
Bio-ORACLE,BO21_temprange_ss,Sea surface temperature (range),degrees Celcius,Range of sea surface temperature,7000,0.083333333,2.1
